   10 TL ✓  10TL x1  (1 banknot)
   20 TL ✓  10TL x2  (2 banknot)
   30 TL ✓  20TL x1 + 10TL x1  (2 banknot)
   40 TL ✓  20TL x1 + 10TL x2  (3 banknot)
   50 TL ✓  20TL x2 + 10TL x1  (3 banknot)
   60 TL ✓  50TL x1 + 10TL x1  (2 banknot)
   70 TL ✓  50TL x1 + 10TL x2  (3 banknot)
   80 TL ✓  50TL x1 + 20TL x1 + 10TL x1  (3 banknot)
   90 TL ✓  50TL x1 + 20TL x1 + 10TL x2  (4 banknot)
  100 TL ✓  50TL x1 + 20TL x2 + 10TL x1  (4 banknot)
  110 TL ✓  100TL x1 + 10TL x1  (2 banknot)
  120 TL ✓  100TL x1 + 10TL x2  (3 banknot)
  130 TL ✓  100TL x1 + 20TL x1 + 10TL x1  (3 banknot)
  140 TL ✓  100TL x1 + 20TL x1 + 10TL x2  (4 banknot)
  150 TL ✓  100TL x1 + 20TL x2 + 10TL x1  (4 banknot)
  160 TL ✓  100TL x1 + 50TL x1 + 10TL x1  (3 banknot)
  170 TL ✓  100TL x1 + 50TL x1 + 10TL x2  (4 banknot)
  180 TL ✓  100TL x1 + 50TL x1 + 20TL x1 + 10TL x1  (4 banknot)
  190 TL ✓  100TL x1 + 50TL x1 + 20TL x1 + 10TL x2  (5 banknot)
  200 TL ✓  100TL x1 + 50TL x1 + 20TL x2 + 10TL x1  (5 banknot)
  210 TL ✓  100TL x2 + 10TL x1  (3 banknot)
  220 TL ✓  100TL x2 + 10TL x2  (4 banknot)
  230 TL ✓  100TL x2 + 20TL x1 + 10TL x1  (4 banknot)
  240 TL ✓  100TL x2 + 20TL x1 + 10TL x2  (5 banknot)
  250 TL ✓  100TL x2 + 20TL x2 + 10TL x1  (5 banknot)
  260 TL ✓  100TL x2 + 50TL x1 + 10TL x1  (4 banknot)
  270 TL ✓  100TL x2 + 50TL x1 + 10TL x2  (5 banknot)
  280 TL ✓  100TL x2 + 50TL x1 + 20TL x1 + 10TL x1  (5 banknot)
  290 TL ✓  100TL x2 + 50TL x1 + 20TL x1 + 10TL x2  (6 banknot)
  300 TL ✓  100TL x2 + 50TL x1 + 20TL x2 + 10TL x1  (6 banknot)
  310 TL ✓  100TL x3 + 10TL x1  (4 banknot)
  320 TL ✓  100TL x3 + 10TL x2  (5 banknot)
  330 TL ✓  100TL x3 + 20TL x1 + 10TL x1  (5 banknot)
  340 TL ✓  100TL x3 + 20TL x1 + 10TL x2  (6 banknot)
  350 TL ✓  100TL x3 + 20TL x2 + 10TL x1  (6 banknot)
  360 TL ✓  100TL x3 + 50TL x1 + 10TL x1  (5 banknot)
  370 TL ✓  100TL x3 + 50TL x1 + 10TL x2  (6 banknot)
  380 TL ✓  100TL x3 + 50TL x1 + 20TL x1 + 10TL x1  (6 banknot)
  390 TL ✓  100TL x3 + 50TL x1 + 20TL x1 + 10TL x2  (7 banknot)
  400 TL ✓  100TL x3 + 50TL x1 + 20TL x2 + 10TL x1  (7 banknot)
  410 TL ✓  100TL x4 + 10TL x1  (5 banknot)
  420 TL ✓  100TL x4 + 10TL x2  (6 banknot)
  430 TL ✓  100TL x4 + 20TL x1 + 10TL x1  (6 banknot)
  440 TL ✓  100TL x4 + 20TL x1 + 10TL x2  (7 banknot)
  450 TL ✓  100TL x4 + 20TL x2 + 10TL x1  (7 banknot)
  460 TL ✓  100TL x4 + 50TL x1 + 10TL x1  (6 banknot)
  470 TL ✓  100TL x4 + 50TL x1 + 10TL x2  (7 banknot)
  480 TL ✓  100TL x4 + 50TL x1 + 20TL x1 + 10TL x1  (7 banknot)
  490 TL ✓  100TL x4 + 50TL x1 + 20TL x1 + 10TL x2  (8 banknot)
  500 TL ✓  100TL x4 + 50TL x1 + 20TL x2 + 10TL x1  (8 banknot)
  510 TL ✓  100TL x5 + 10TL x1  (6 banknot)
  520 TL ✓  100TL x5 + 10TL x2  (7 banknot)
  530 TL ✓  100TL x5 + 20TL x1 + 10TL x1  (7 banknot)
  540 TL ✓  100TL x5 + 20TL x1 + 10TL x2  (8 banknot)
  550 TL ✓  100TL x5 + 20TL x2 + 10TL x1  (8 banknot)
  560 TL ✓  100TL x5 + 50TL x1 + 10TL x1  (7 banknot)
  570 TL ✓  100TL x5 + 50TL x1 + 10TL x2  (8 banknot)
  580 TL ✓  100TL x5 + 50TL x1 + 20TL x1 + 10TL x1  (8 banknot)
  590 TL ✓  100TL x5 + 50TL x1 + 20TL x1 + 10TL x2  (9 banknot)
  600 TL ✓  100TL x5 + 50TL x1 + 20TL x2 + 10TL x1  (9 banknot)
  610 TL ✓  100TL x6 + 10TL x1  (7 banknot)
  620 TL ✓  100TL x6 + 10TL x2  (8 banknot)
  630 TL ✓  100TL x6 + 20TL x1 + 10TL x1  (8 banknot)
  640 TL ✓  100TL x6 + 20TL x1 + 10TL x2  (9 banknot)
  650 TL ✓  100TL x6 + 20TL x2 + 10TL x1  (9 banknot)
  660 TL ✓  100TL x6 + 50TL x1 + 10TL x1  (8 banknot)
  670 TL ✓  100TL x6 + 50TL x1 + 10TL x2  (9 banknot)
  680 TL ✓  100TL x6 + 50TL x1 + 20TL x1 + 10TL x1  (9 banknot)
  690 TL ✓  100TL x6 + 50TL x1 + 20TL x1 + 10TL x2  (10 banknot)
  700 TL ✓  100TL x6 + 50TL x1 + 20TL x2 + 10TL x1  (10 banknot)
  710 TL ✓  100TL x7 + 10TL x1  (8 banknot)
  720 TL ✓  100TL x7 + 10TL x2  (9 banknot)
  730 TL ✓  100TL x7 + 20TL x1 + 10TL x1  (9 banknot)
  740 TL ✓  100TL x7 + 20TL x1 + 10TL x2  (10 banknot)
  750 TL ✓  100TL x7 + 20TL x2 + 10TL x1  (10 banknot)
  760 TL ✓  100TL x7 + 50TL x1 + 10TL x1  (9 banknot)
  770 TL ✓  100TL x7 + 50TL x1 + 10TL x2  (10 banknot)
  780 TL ✓  100TL x7 + 50TL x1 + 20TL x1 + 10TL x1  (10 banknot)
  790 TL ✓  100TL x7 + 50TL x1 + 20TL x1 + 10TL x2  (11 banknot)
  800 TL ✓  100TL x7 + 50TL x1 + 20TL x2 + 10TL x1  (11 banknot)
